PRICE,FLOOR,BEDROOM,BATHROOM,ROAD,LAND,AGE,Cities,LAND_squared
2.3,3,4,4,13,2.2,8,4,4.840000000000001
2.65,3,4,5,13,4.0,7,4,16.0
3.2,2,5,4,13,4.1,5,4,16.81
2.9,2,5,5,13,3.0,5,4,9.0
2.75,3,6,4,20,3.0,7,4,9.0
2.55,3,6,6,13,3.2,8,4,10.240000000000002
2.75,2,5,5,13,3.1,8,4,9.610000000000001
3.4,3,5,4,26,3.2,5,4,10.240000000000002
2.75,2,4,4,20,3.2,5,4,10.240000000000002
4.25,2,5,3,20,4.1,8,4,16.81
1.6,2,4,3,13,5.2,11,4,27.040000000000003
3.55,2,6,4,13,3.2,2,3,10.240000000000002
2.75,2,6,4,13,3.0,9,4,9.0
5.9,2,6,5,20,7.1,7,4,50.41
2.85,2,4,3,20,4.0,5,4,16.0
2.75,3,5,3,12,4.0,5,4,16.0
2.8,2,6,4,13,3.1,11,4,9.610000000000001
3.25,2,6,4,14,4.0,18,4,16.0
3.9,2,6,5,13,4.2,10,3,17.64
4.25,2,4,6,20,4.0,15,3,16.0
3.4,2,5,4,13,4.1,9,0,16.81
4.75,3,4,5,20,7.0,13,3,49.0
3.45,2,4,4,13,3.3,9,3,10.889999999999999
2.9,2,11,4,20,6.1,5,3,37.209999999999994
2.65,3,5,4,13,2.9,5,4,8.41
1.5,2,4,4,15,6.0,17,4,36.0
4.25,3,7,5,16,4.2,22,4,17.64
4.2,3,6,5,12,4.2,11,4,17.64
2.75,2,7,6,20,3.2,5,3,10.240000000000002
2.95,3,5,4,16,4.2,7,3,17.64
4.5,5,7,4,27,2.2,16,3,4.840000000000001
2.1,2,4,4,14,7.0,9,3,49.0
3.9,2,6,4,16,4.3,11,4,18.49
2.75,2,4,4,20,4.0,11,4,16.0
4.6,2,4,5,13,7.2,10,3,51.84
2.4,2,6,5,13,3.2,11,3,10.240000000000002
6.0,3,8,5,13,10.2,9,3,104.03999999999999
3.85,3,6,5,13,4.2,9,3,17.64
2.8,2,5,4,13,4.0,5,3,16.0
3.0,2,5,4,14,4.2,5,4,17.64
2.6,2,5,3,20,3.0,17,4,9.0
2.55,3,5,5,12,3.0,11,3,9.0
5.0,2,5,3,20,8.0,7,3,64.0
3.3,2,4,4,13,5.2,11,3,27.040000000000003
1.6,2,4,4,13,2.2,11,3,4.840000000000001
3.25,2,5,4,13,4.0,16,3,16.0
3.9,2,5,6,20,5.2,22,3,27.040000000000003
5.5,2,6,3,13,9.0,12,4,81.0
4.25,2,5,4,16,4.2,2,4,17.64
3.1,2,4,3,13,4.0,2,4,16.0
3.5,2,5,3,13,5.0,5,3,25.0
3.7,2,4,4,20,3.2,26,3,10.240000000000002
2.85,2,6,4,13,3.0,11,4,9.0
3.65,3,7,4,13,4.0,9,4,16.0
3.3,2,6,4,13,3.2,2,3,10.240000000000002
6.25,2,5,7,20,6.0,26,3,36.0
7.5,2,7,6,13,8.0,9,3,64.0
3.5,2,3,3,30,3.1,12,4,9.610000000000001
3.1,2,4,4,13,3.2,12,4,10.240000000000002
2.35,3,6,3,13,3.0,2,4,9.0
2.95,3,4,4,13,3.0,2,4,9.0
4.65,3,6,4,13,5.0,5,3,25.0
3.15,3,6,6,13,4.0,8,3,16.0
1.5,2,5,2,20,4.0,5,3,16.0
2.25,2,2,2,13,9.0,9,3,81.0
1.9,2,4,4,13,2.3,2,4,5.289999999999999
3.1,2,4,4,13,3.3,26,4,10.889999999999999
4.35,2,4,4,20,4.2,9,4,17.64
3.1,3,5,4,13,4.0,9,4,16.0
5.5,2,6,3,20,6.0,8,3,36.0
6.0,5,10,6,12,7.1,5,3,50.41
2.8,2,5,4,13,3.0,12,4,9.0
2.75,3,6,5,13,3.1,3,4,9.610000000000001
2.95,2,5,4,13,3.2,8,4,10.240000000000002
1.95,3,5,6,23,2.3,5,4,5.289999999999999
2.7,2,5,4,13,3.2,20,4,10.240000000000002
2.8,2,6,4,16,4.0,12,4,16.0
2.9,2,3,3,14,3.0,10,4,9.0
2.9,3,5,5,13,3.2,2,4,10.240000000000002
2.9,2,4,4,13,3.2,5,4,10.240000000000002
4.5,3,4,4,13,5.0,5,4,25.0
2.25,2,4,2,13,2.3,12,3,5.289999999999999
2.6,2,5,5,14,3.0,11,3,9.0
3.3,3,8,5,13,4.3,2,0,18.49
2.7,2,3,4,20,3.0,11,4,9.0
2.75,2,5,5,13,4.1,9,4,16.81
1.6,2,5,3,12,2.2,23,3,4.840000000000001
4.7,2,6,3,14,7.0,9,3,49.0
2.5,2,4,4,13,3.1,12,4,9.610000000000001
2.5,2,4,3,13,3.2,12,4,10.240000000000002
2.3,3,9,3,12,4.0,5,3,16.0
3.5,2,8,4,8,8.0,8,3,64.0
2.7,4,8,4,11,4.0,5,3,16.0
7.0,2,5,4,20,5.0,9,4,25.0
3.5,2,3,4,22,3.3,9,4,10.889999999999999
2.5,2,6,3,16,3.0,9,4,9.0
4.5,2,9,4,13,3.0,9,3,9.0
2.6,2,3,4,20,3.0,5,3,9.0
3.45,2,6,5,13,4.0,8,3,16.0
3.75,2,6,5,14,5.0,5,3,25.0
3.0,2,4,3,10,5.0,6,0,25.0
6.5,2,6,3,13,8.0,23,3,64.0
3.0,2,8,4,14,4.2,23,3,17.64
1.75,2,11,3,12,3.0,11,3,9.0
2.95,2,4,4,13,4.2,9,3,17.64
4.3,3,6,4,13,6.0,23,4,36.0
3.1,2,6,5,13,3.1,5,4,9.610000000000001
4.5,3,7,7,13,6.3,8,4,39.69
2.65,2,5,4,13,3.0,5,4,9.0
2.95,2,5,4,13,3.2,9,4,10.240000000000002
3.75,2,5,4,20,5.0,9,3,25.0
2.55,2,4,4,13,3.0,23,4,9.0
2.25,2,5,3,20,2.3,13,4,5.289999999999999
2.85,2,9,4,13,3.0,9,4,9.0
6.0,2,8,5,13,6.0,13,3,36.0
1.65,2,3,3,13,2.2,11,3,4.840000000000001
3.35,3,10,5,13,4.0,23,3,16.0
3.5,3,6,4,11,5.0,6,3,25.0
2.75,2,9,4,13,5.0,11,3,25.0
2.25,2,7,3,13,3.0,9,4,9.0
2.5,3,7,6,13,3.0,5,4,9.0
2.8,3,6,6,15,5.3,8,4,28.09
2.6,3,5,3,13,2.2,5,4,4.840000000000001
2.8,3,4,4,13,3.0,9,4,9.0
2.7,2,5,4,13,3.2,9,4,10.240000000000002
2.9,4,22,8,6,3.2,9,3,10.240000000000002
3.25,3,5,5,16,3.3,6,4,10.889999999999999
2.7,2,3,4,20,3.0,13,4,9.0
6.5,2,4,5,14,7.0,16,3,49.0
2.75,3,7,4,13,3.0,5,4,9.0
2.3,3,5,4,10,2.3,5,3,5.289999999999999
5.75,2,4,4,13,5.2,5,3,27.040000000000003
5.0,2,4,4,13,4.0,13,3,16.0
1.75,2,5,5,14,3.0,2,3,9.0
5.5,2,7,4,10,5.0,2,3,25.0
4.65,3,6,6,13,4.3,6,3,18.49
3.5,3,3,2,13,2.5,2,4,6.25
2.8,6,22,8,6,3.2,21,3,10.240000000000002
7.35,3,4,3,13,9.1,11,3,82.80999999999999
2.3,2,5,3,13,3.0,12,3,9.0
3.9,2,6,6,14,6.0,21,3,36.0
3.5,3,7,4,18,4.0,6,4,16.0
